sentence_id,sentiment,en_proportion,ta_proportion,na_proportion,num_switches,sentence_length,sentence
sent_00033,Positive,0.0,1.0,0.0,0,5,thala thanta thalaiya minja evanta
sent_00034,Mixed_feelings,0.2308,0.7692,0.0,5,13,Normal ah than iruku over ah laam illa expect panra aalavuku onum illa
sent_00035,Positive,0.5333,0.4667,0.0,9,15,Itha trailer Ku dislike pannuraven girls ku against ta irupan pola.... You mom also girl..
sent_00036,Positive,0.1111,0.8889,0.0,2,9,Thala   verithanam  intha padam rapists ku marana serupadi kudukum
sent_00037,Positive,0.3333,0.6667,0.0,2,6,Thala fans for ravathanallur uthiramerur kanchipuram
sent_00038,Positive,0.0,1.0,0.0,0,7,Aiyo enaku ipave thalaya padathula pakanumnu eruku
sent_00039,Positive,0.25,0.75,0.0,1,12,Oruthar mela viswasam kaataruthukkaaga innoru thara yen asinga paduthiringa  ... To all fans
sent_00040,Positive,0.1111,0.7778,0.1111,2,9,Yavan da sonna  NKP  Ku expection varadunu Thala daaaaaaa
sent_00041,Positive,0.3333,0.6667,0.0,2,6,Thalapathi fan.But dislike panna manasu varala
sent_00042,Positive,0.3333,0.6667,0.0,3,6,What ah speech Thala Ajith Kumar
sent_00043,Positive,0.4167,0.5833,0.0,9,12,Trailler pidikkadhavangalaam  like pannunga    expect panna alavukku trailer illa oknna like pannunga....
sent_00044,Positive,0.375,0.625,0.0,6,8,Thala acting vera level nu solravanga like panunga
sent_00045,Positive,0.25,0.6667,0.0833,6,12,THALA always masss.. Ippo sollava venum Y1 music vera level ah irukkum... .
sent_00046,Positive,0.3,0.7,0.0,5,10,Thala and yuvan ..like ha therika vidungada pasangala...bgm vera level ..
sent_00047,Positive,0.75,0.25,0.0,1,8,Now you are lying lying lying. Thala mass
sent_00048,Positive,0.0,1.0,0.0,0,8,Usure mela poitu varuthu Thala ungala paakum pothu.....
sent_00049,Positive,0.8,0.2,0.0,3,10,Thala court scene marana mass dialogue delivery super duper hit
sent_00050,Positive,0.3333,0.6667,0.0,2,3,Thala  looking  mass
sent_00051,Positive,0.6667,0.1667,0.1667,2,6,"@0:21 oh man, Thala looking amazing"
sent_00052,Positive,0.0,0.875,0.125,0,8,Thalaaa !!!!!!.....yuvan poramboku ena da bgm potu vechirka
sent_00053,Positive,0.2857,0.7143,0.0,2,7,Adangappa semma tralier fight na innum thrikum 🤗🤗🤗
sent_00054,Negative,0.0,1.0,0.0,0,9,Ayioooo mudela da punda yanna detu padom purela da 🤔🤔
sent_00055,Positive,0.1667,0.6667,0.1667,2,6,Hindi padam trailer patha maari iruku
sent_00056,Positive,0.5714,0.4286,0.0,3,7,Nadigar Ajith I kaanaa.... We are waiting...
sent_00057,Positive,0.0,1.0,0.0,0,10,Idhu podhum thala idhu podhum thala aiyooooo sema thala nee
sent_00058,Positive,0.5714,0.4286,0.0,5,7,Iam Vijay fan.... Trailer Vera levelsemaa Thala
sent_00059,Positive,0.125,0.875,0.0,2,8,Ayyyoo thala pindriye thala.... Vera level dharisanan thala
sent_00060,Negative,0.2857,0.7143,0.0,3,7,dislike panna terrorist ah adichu kollunga da
sent_00061,Mixed_feelings,0.3333,0.6667,0.0,8,12,Amithap patchan acting ivaruku koncham kooda set agala ... acting koncham change pannirukalam
sent_00062,Positive,0.5714,0.2857,0.1429,3,7,R u vergin .....vara level opening thala...
sent_00063,Positive,0.3333,0.6667,0.0,1,6,Social luku theva pada koodiya Padam
sent_00064,Positive,0.0,1.0,0.0,0,9,Ioooo iooo iooo ennanu solrathu thala nenga vera leval...
sent_00065,Positive,0.125,0.875,0.0,4,16,Thala ungaluku edu enai yevarum ellai tamil cinemavirke yendrum nengalthan chella pillai vera level thala nenga
sent_00066,Positive,0.0,1.0,0.0,0,7,Sigaramna Everestu Nadipunna Enga Thala Ajith kumaru
sent_00067,Positive,0.0,1.0,0.0,0,14,Ithuku  than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha🥳🥳🥳🥳🥳🥳 bayangaram 🥳🥳🥳🥳🥳 pichitaru thala🤩🤩🤩🤩🤩
sent_00068,Positive,1.0,0.0,0.0,0,6,Last part music I love it
sent_00069,Positive,0.4286,0.5714,0.0,1,7,"Appedilaam nadekaathu, nadake kudaathu!! The bulls eyes🤩"
sent_00070,Positive,0.4211,0.5789,0.0,9,19,Yellam great... Ivarukaga theva ilama oru fight scene add paniruku padathula... Unwanted.. adhe originality nalla irundhirukum avaruku... Little disappointed..
sent_00071,Positive,0.6667,0.3333,0.0,2,6,Thala love you so much ummmmmmmmmma
sent_00072,Positive,0.2727,0.7273,0.0,3,11,Unga viwasatha kaata mathavangala yen avamana paduthureenga!!!thala for u.... thala bloods....
sent_00073,Positive,0.2857,0.7143,0.0,2,7,Ajith sir in veru patta nadipu.vera leval
sent_00074,Positive,0.2857,0.7143,0.0,2,7,Intha padam kandippa crime story aatha irukkum
sent_00075,Positive,0.25,0.75,0.0,1,8,Romba varusam kalichi..ajith anna..nalla padathula nadikiraru ..good luck
sent_00076,Positive,0.5714,0.4286,0.0,2,7,From Karnataka kiccha  Sudeep fans like here
sent_00077,Positive,0.3333,0.6667,0.0,3,6,"Trailer oda kadaisi dialogue, Kola mass"
sent_00078,Negative,0.1667,0.8333,0.0,2,6,Ellam avan seyal movie madri iruku
sent_00079,Positive,0.2941,0.7059,0.0,8,17,Maaassssssooooooooo maaaassss thalaya ipti oru puthu role la paakrapa as a thala fan romba happy ah erukku
sent_00080,Positive,0.0909,0.9091,0.0,2,11,Amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada
sent_00081,Positive,0.0,0.8889,0.1111,0,9,1:16 Rangaraj Pandey.. Avar nadikkala. Avaroda velaya padathula seiraru
sent_00082,Positive,0.5,0.5,0.0,1,8,Thaaru maaru... Thala ku Film Fare award confirm...
sent_00083,Positive,0.625,0.375,0.0,3,8,Come on Thala fans beginning festival  Nerkonda paarvai
sent_00084,Positive,0.3,0.7,0.0,6,10,Ellam iruku but ethoo miss aguthu ...that mass avlova illa
sent_00085,Positive,0.0,1.0,0.0,0,9,Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala.........
sent_00086,Positive,0.25,0.75,0.0,2,8,Romba nal kaluchi thalaya opening scene illama pakuran
sent_00087,Positive,0.0,1.0,0.0,0,6,Yuvan da ivana minja Evan da
sent_00088,Positive,0.5,0.5,0.0,2,6,Ippidi nariya nariya nariya superb dialogue
sent_00089,Positive,0.0,1.0,0.0,0,10,Oruthar mela neenga viswasam kata.. Inoruthara neenga asinga paduthuringa.... Deep
sent_00090,Positive,0.1,0.9,0.0,2,10,Padam nalla irukko illaiya but thala eppovum mass ahh irukkanum...
sent_00091,Positive,0.2857,0.7143,0.0,4,7,Samaa superrr thala machans oru like podungha
sent_00092,Positive,0.1429,0.8571,0.0,2,7,Niraya niraya niraya paer wait pannitirukkom thala.
sent_00093,Positive,0.5,0.5,0.0,3,6,Thala mass dialogue class vera level
sent_00094,Negative,0.0833,0.9167,0.0,2,12,THALA padama ITHU koothi maari iruku trailer....... Padam punda mathiri irukum pola
sent_00095,Positive,0.0,0.6,0.4,0,5,Ajith = h.Vinod= Siva = h. Raja
sent_00096,Positive,0.4286,0.5714,0.0,2,14,Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....
sent_00097,Positive,0.1667,0.8333,0.0,1,6,Last ah keta kelvi...paaahhh semmaa thala
sent_00098,Positive,0.3125,0.6875,0.0,10,16,"Thala darisanum, yenna charisma, yenna English, yenna alagzhu, lion voice.. thala blood thala veriyan from Bangalore"
sent_00099,Positive,0.4444,0.5556,0.0,3,9,Vera level thala marana mass thala I am waiting
sent_00100,Positive,0.0,1.0,0.0,0,5,Appudila nadakathu.... Nadaka kudathu....             Thala
sent_00101,Positive,0.2857,0.7143,0.0,2,7,Kerala Vikram fans like butten Adichu pottikku
sent_00102,Positive,0.6667,0.3333,0.0,2,6,Vikram he to best hi hogi..
sent_00103,Mixed_feelings,0.5,0.5,0.0,4,10,Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....
sent_00104,Mixed_feelings,0.0,1.0,0.0,0,10,Vechu senjutinga thalaiva ... Padam marana mass. Kandipa innoru vaati pakkanum
sent_00105,Positive,0.9,0.1,0.0,2,10,Superb movie!!! Vikram looks Mass!!! Well made movie ..no lag...
sent_00106,Mixed_feelings,0.7273,0.2727,0.0,3,11,Vikram looks just like he was in iru mugan. Looks cool !
sent_00107,Positive,0.3333,0.6667,0.0,1,6,Vayase aagala pa.. ena effort chanceless.. 🤙
sent_00108,Positive,0.8333,0.1667,0.0,2,6,Die hard chiyaan fans like here
sent_00110,unknown,1.0,0.0,0.0,0,17,U kena tunggu lebih lama lagi untuk tau saya.. You have to wait longer to know me
sent_00111,Positive,0.8571,0.1429,0.0,2,7,"omg, Indian filmmaking is so embarassing xD"
sent_00112,Positive,0.1667,0.8333,0.0,2,6,Vara vara gibran bgm la kalakkuran
sent_00113,unknown,0.5,0.5,0.0,5,8,Movie kab release hogi uska date fix batao
sent_00114,unknown,0.0,1.0,0.0,0,9,"Kuch samajh nai aaya , lekin dekh k acha laga."
sent_00115,unknown,0.625,0.375,0.0,5,8,Hollywood movie ka remek hain point blank ka
sent_00116,Positive,0.1667,0.8333,0.0,2,6,chiyan veriyan ivan pandiyan  street aruppukottai
sent_00117,unknown,1.0,0.0,0.0,0,7,Plzzzzzz sir ji hindi me bhi chahiye..
sent_00118,Positive,0.2857,0.5714,0.1429,2,7,AR rahuman on board chiyaan vikram 58
sent_00119,Positive,0.6667,0.1111,0.2222,1,9,213k likes but just 3.9 unlikes only fr chiyaan
sent_00120,Positive,0.0,1.0,0.0,0,7,nenga vilaiyanadhuu enn kitte Ella yeman kittee..
sent_00121,Negative,0.2,0.8,0.0,3,10,movie nadikiradhuku theramai thevai illai kaasu irundha podhum (example : aksarahasan )
sent_00122,Mixed_feelings,0.0,1.0,0.0,0,6,Ivaruku vayasu agala vayasu koranchukitu iruku
sent_00123,Positive,0.3846,0.6154,0.0,2,13,Neenga velayadanathu enkitta illa yeman kitta  Only one dialogue is enough  chiyaan uyir
sent_00124,unknown,0.9091,0.0909,0.0,2,11,you kena tunggu lama lagi kalau nak tau saya...malay punch dialogue
sent_00125,Positive,0.5833,0.4167,0.0,2,12,Vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku
sent_00126,Positive,0.6667,0.1667,0.1667,1,6,Vikram Telugu fans hit like here
sent_00127,Positive,0.4615,0.5385,0.0,6,13,Vikram Hair Style....Pidichavanga Like Podunga Pa..... Naamalum Vaipom Future Le...Andha Hair Style Le.....
sent_00128,unknown,0.8571,0.0,0.1429,0,7,you kena tunggu lama lagi untuk tosai !!!
sent_00129,Positive,0.8571,0.1429,0.0,1,7,Age is not a matter for vikram
sent_00130,Negative,0.0,1.0,0.0,0,9,Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?
sent_00131,Positive,0.6667,0.1667,0.1667,2,6,Die HEARTfan of VikramSir ...  FROM Tollywood ....
sent_00132,Positive,0.3333,0.6667,0.0,6,12,Kamal sir nenga vikrama vaithu marma yogi movie pannunga sir superrrrrrra irukkum.
sent_00133,unknown,0.8333,0.1667,0.0,2,6,Hindi me kyo nhi late trailer
sent_00134,Positive,0.8571,0.1429,0.0,1,7,Vikram sir you will never get old
sent_00135,Positive,0.0,1.0,0.0,0,8,neenga vilayadnathu enkitte ille yaman kitte  chiyan vikram
sent_00136,Positive,0.2,0.8,0.0,3,10,Trailer lam nalla irukku...!! Aana padatha release panna maatringale pa.....
sent_00137,Positive,0.75,0.125,0.125,2,8,Can i get 2k like for vikram sir
sent_00138,Positive,0.8,0.2,0.0,4,10,Iam from odisha   I am big fan of vikram sir
sent_00139,Positive,0.2,0.8,0.0,2,5,Chiyanisam is  sema thookkal aaha
sent_00140,unknown,0.9091,0.0,0.0909,0,11,1:37 You Kene Tunggu Lama Lagi Untuk Tahu Saya  MALAYSIA LANGUAGE
sent_00141,Positive,0.5714,0.4286,0.0,3,14,Very happy to see our lena lena chechi i love you umma umma umma
sent_00142,Positive,0.6,0.4,0.0,1,5,Chiyan vikram sir's   heavy  trailer.....
sent_00143,Negative,0.125,0.875,0.0,2,8,Ippo Bigboss vetukulla vikrama anupe asega paduthuvan kamal
sent_00144,Positive,0.0,1.0,0.0,0,6,mass chiyaan vikramyamaan daakk na yaruu???
sent_00145,Positive,1.0,0.0,0.0,0,5,This man never gets old
sent_00146,Positive,1.0,0.0,0.0,0,8,Why dont you make movie relies in hindi.........
sent_00147,Positive,0.1667,0.8333,0.0,2,6,Ita yavudu release panna udunga ya
sent_00148,Positive,0.6667,0.1667,0.1667,2,6,I am the chiyaan fan ta
sent_00149,Positive,0.7273,0.2727,0.0,3,11,Chiyaan Vikram sir u r awesome sir.u have maintained good physique
sent_00150,Positive,0.1111,0.2222,0.6667,1,9,1:00 LUV U  Chiyaan Vikram and LUV U DUKE
sent_00151,Positive,0.6667,0.3333,0.0,1,6,Hindi me full movie rielij Karu
sent_00152,Positive,0.5,0.5,0.0,4,8,Indha trailera big bossla podanumnu ninaikkaravunga like pannunga
sent_00153,Positive,0.7143,0.2857,0.0,3,7,Vikram looks like splinter cell Sam Fisher
sent_00154,unknown,0.6,0.4,0.0,2,5,അണ്ണൻ ഉയിർ  Love from  kerala 🥰
sent_00155,Positive,0.1429,0.8571,0.0,1,7,Next ulaga nayagan namma chiyan vikram thaan
sent_00156,Positive,0.5,0.375,0.125,3,8,chiyan vikram I and Aprichit movie fans like 🤘🤘
sent_00157,Positive,0.8571,0.0714,0.0714,2,14,"Wow Vikram spoke Malay word “You kena tunggu lebih lama lagi,until tahu saya”. Wowww"
sent_00158,Positive,0.6667,0.3333,0.0,5,12,You kena tungu lebih lama lagi untuk tahu saya... Vikram speak malay....
sent_00159,Positive,0.375,0.625,0.0,2,8,Chiyan vikram sema style  waiting for kadaram kondan
sent_00160,Positive,0.1667,0.8333,0.0,2,6,Ghibran ku aaagavey padam hit aaganum
sent_00161,Positive,0.8182,0.1818,0.0,1,11,You kena tunggu lebih lama lagi... untuk tahu saya!   Masss Chiyaan
sent_00162,Positive,0.5714,0.4286,0.0,3,14,Is he like anit hero in this film.... But semaya iruku.. Chiyaan ipdi paaka
sent_00163,Positive,0.7,0.3,0.0,3,10,when i am seeing vikram here its like john wick
sent_00164,Positive,0.8182,0.1818,0.0,3,11,Vikram speak malay...you kena tunggu lebih lama lagi untuk tahu saya..
sent_00165,Positive,0.4286,0.5714,0.0,2,7,Itha paaka transporter Tamil remake maari iruku
sent_00166,Positive,0.5,0.5,0.0,4,10,You kena tungu lama lagi mahu jumpa saya.....last malay language....
sent_00167,Positive,0.3636,0.6364,0.0,8,11,Vikram sir ella costumum ella characterum Unga orutharuku thaan suit akum
sent_00168,unknown,1.0,0.0,0.0,0,9,U kena tunggu lebih lama lagi...  Untuk tahu saya ...
sent_00169,Positive,0.625,0.375,0.0,3,8,Meaning of kadaram kondan is king of Malaysia
sent_00170,Positive,0.25,0.5,0.25,1,4,1:06 gibran Vera level
sent_00171,Positive,0.2,0.8,0.0,5,15,Trailer pakka super ah iruku but Rajesh neenga edhutha thungavanam padatha patha dha bayama iruku..
sent_00172,Negative,0.2308,0.7692,0.0,3,13,Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck
sent_00173,unknown,0.2,0.7,0.1,3,10,Hindi version bhi sath aa jaye to mza aa jaye
sent_00174,Positive,0.8333,0.1667,0.0,1,6,Still acting like a youngster...Chiyaan Vikram
sent_00175,Positive,0.8571,0.1429,0.0,1,7,Vera level getup last minute super bro
sent_00176,Mixed_feelings,0.3333,0.6667,0.0,1,6,Konjam Irumugan Madhiri irukku....All the best.....team
sent_00177,unknown,0.8889,0.1111,0.0,2,9,U kena tungu lebih Lama lagi untuk tau saya
sent_00178,Positive,0.7692,0.2308,0.0,2,13,Super Hit Trailer Love From pakistan Chiyaan Vikram Sir FanS Hit Like Here
sent_00179,Positive,0.4,0.6,0.0,2,5,Chiyaan  semma   Love from kerala
sent_00180,Positive,0.3333,0.6667,0.0,6,9,Vikramuku Indha padam hit kodukum accept pannuravunga like pannunga
sent_00181,unknown,0.3333,0.1667,0.5,2,6,Hindi mein bhi release karo movie
sent_00182,Positive,0.3333,0.6667,0.0,1,6,Enth look aado oru raksha ella
sent_00183,unknown,0.8889,0.0,0.1111,0,9,Dia kena tunggu lame lg.. utk tau saya... hhahahahaha
sent_00184,unknown,1.0,0.0,0.0,0,13,You kena tunggu lebih lama lagi untuk tahu saya! Who heard this Malaysians?
sent_00185,Positive,0.3333,0.6667,0.0,2,6,Missed shruti hassan's kadam kondam song.....
sent_00186,Positive,0.9231,0.0769,0.0,2,13,I like Vikram sir.l want to see him in a joker like character
sent_00187,unknown,0.5333,0.2667,0.2,4,15,Solid trailer Hindi mein bhi release kar do dub karke Chiyaan vikram fans like here ..
sent_00188,Positive,0.8333,0.1667,0.0,1,6,All d best from all Kannadigas....
sent_00189,Negative,0.1667,0.8333,0.0,1,6,Kadaram... Enna karumam da idhu 🤧 FLOP !!
sent_00190,unknown,0.9167,0.0833,0.0,2,12,Plz hindi me v dubbed kijiye ....  For We all hindi fan .plzzzzzzzzzz
sent_00191,Positive,0.7857,0.0714,0.1429,2,14,wow Is Movie 3Million   View 175k Like Best luck Bikram Sir Fan Likr Here
sent_00192,Positive,0.8,0.2,0.0,2,5,but i want karikalachozhan also
sent_00193,Mixed_feelings,0.1429,0.8571,0.0,2,7,Ethirpartha alavukku illa...bgm mattama irukku... Why ghibran🤦‍🤦‍
sent_00194,Positive,0.7,0.3,0.0,1,10,Super super super super super super super Vikram variyan da
sent_00195,Positive,0.0,1.0,0.0,0,7,Ama Inga enga Kamal Hassan ah kanom
sent_00196,Positive,0.1667,0.8333,0.0,2,6,Yen pa idu trending la elha??
sent_00197,Mixed_feelings,0.0909,0.9091,0.0,2,11,Dei Vikram ku trailer mattum nalla pannuvanga da.Ana Padam mokkiya irukum.
sent_00198,Positive,0.7143,0.2857,0.0,1,7,Chiyaan Vikram die hard fans like here
sent_00199,Positive,0.6,0.4,0.0,1,5,diehard fan of chiyaan vikram
sent_00200,Positive,0.0,1.0,0.0,0,10,Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe
sent_00201,unknown,0.25,0.625,0.125,2,16,खान तो बहुत थे पर खिलाड़ी बस एक है। the one and only mr. Akshay kumar
sent_00202,Positive,0.8333,0.1667,0.0,1,6,sankar sir fans hit like here
sent_00203,Positive,0.5,0.5,0.0,3,6,Semma semma CG AND SEMMA BACKGROUND
sent_00204,Negative,1.0,0.0,0.0,0,8,"Super but, Not like to see Hollywood level...."
sent_00205,Negative,0.5714,0.4286,0.0,6,14,INDIA'S BIGGEST MOVIE! INDIA'S BIGGEST STARS! SUPER STAR RAJINI KANTH SUPER STAR AKSHAY KUMAR
sent_00206,Mixed_feelings,0.0,1.0,0.0,0,19,Ithella ennada hollywood pado enga aalu siva etuthaaru paarraa vivegam pado athu maari oru pado ungalaala etukka mudiyuma aa
sent_00207,Positive,0.75,0.25,0.0,1,4,CHITTI RELOADED..   EXPECTATION OVERLOADED
sent_00208,Negative,0.3077,0.6923,0.0,3,13,Appo  phone ai thatti vitta  sivakumar kandippa akshay kumar oda sleeper cell dhaan..
sent_00209,Negative,0.7778,0.2222,0.0,4,9,All best to 2.0 from kannadigas....super star rajani sir
sent_00210,Negative,0.6667,0.3333,0.0,3,6,Heat like for Akshay and Rajnikant
sent_00211,Positive,0.2,0.8,0.0,1,5,Trailer na  ipdi irukanum!!! Maasssssss
sent_00212,Negative,0.1538,0.8462,0.0,4,13,Otha Semma happy daa 🤘 Oru payyen kitte nerunga mudiyadhu Otha haters vaai mudidum
sent_00213,Mixed_feelings,0.3,0.5,0.2,4,10,Tamil cinema 2.0 vera level la irukku marana mass trailer
sent_00214,Positive,0.8,0.2,0.0,4,10,Mind it Love u rajani sir Love u akshay sir
sent_00215,Positive,0.5714,0.2857,0.1429,1,7,Real King Of Indian Cinema Akshay Kumar
sent_00216,Mixed_feelings,0.375,0.625,0.0,2,8,"Irukku,,,, padathula neraya transformers and terminator kadha irukku"
sent_00217,unknown,0.375,0.625,0.0,4,8,Jaldi se hindi version mai release karo yar..
sent_00218,Mixed_feelings,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00219,Positive,0.2857,0.7143,0.0,4,7,"Mairu mari iruku trailer, idhuku teaser thevalam."
sent_00220,Mixed_feelings,0.25,0.625,0.125,3,8,VFX mokka Daww sollitu oru group suthittu irukkanunga
sent_00221,Mixed_feelings,0.8333,0.0,0.1667,0,6,2.0   TOH    ZERO  WHO WILL WIN?
sent_00222,Positive,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00223,Positive,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00224,Positive,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00225,Negative,0.5,0.5,0.0,2,8,Semma trailer Hollywood movie trailer pakara mari ruku
sent_00226,Positive,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00227,Positive,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00228,Negative,0.0769,0.8462,0.0769,2,13,Otha Teaser appo vfx mokkanu pesna dubakuru pasangala ippa vandhu pesunga da paapohm...
sent_00229,Negative,0.8,0.2,0.0,1,5,A big like from Mumbai
sent_00230,Positive,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00231,Mixed_feelings,0.5455,0.4545,0.0,7,11,Rajini sir Shankar and akshay Kumar sir hat's off vyara level
sent_00232,Positive,0.1111,0.8889,0.0,1,9,Graphics sari illa nu solrathukune oru gang suthum parunga
sent_00233,Negative,0.0,0.8333,0.1667,0,6,Bollywood wale yaha hagne na aye
sent_00234,Negative,0.3333,0.6667,0.0,4,12,Teaser la irundhadha apdiye trailer la potrukinga...avlo lam nalla ila.. So sad
sent_00235,Negative,0.5,0.5,0.0,6,18,"What a trailer, indian cinema va vera level ku kondupoga poguthu intha film Akshay kumar vera level Superstar"
sent_00236,Negative,1.0,0.0,0.0,0,6,Looks like power rangers spd emergency
sent_00237,Mixed_feelings,0.6667,0.3333,0.0,5,15,Biggest Fan Of Akshay Kumar From Australia Hit Like For Superstar Rajinikant & Superstar Akshay Kumar
sent_00238,Positive,0.5714,0.4286,0.0,3,7,Thalapathy fans like Sarkar diwali like here
sent_00239,Mixed_feelings,0.5556,0.4444,0.0,6,9,Super Star soldra WOOOW Vera Level la iruku superrrrrb
sent_00240,Positive,0.9,0.0,0.1,0,10,Video game trailer or movie trailer? RRR fans like here!!
sent_00241,Positive,0.5833,0.4167,0.0,6,12,Hollywood movie vida vera level la eruku sir.  Shankar sir it's awesome
sent_00242,Negative,0.0,1.0,0.0,0,8,Dei Antha Paravaya paathale mersal ah irruku da
sent_00243,Negative,0.7143,0.2857,0.0,1,7,Last gun sound in headphone ku ku
sent_00244,Positive,0.5556,0.2222,0.2222,2,9,ONE WORD : MASTERPIECE  THANKYOU SHANKAR SIR FOR VFX TREAT
sent_00245,Positive,0.4,0.6,0.0,1,5,Power rangers maadhiri eduthu vachirukinga
sent_00246,Mixed_feelings,0.6,0.2,0.2,2,5,I'm Chitti  Reloaded version 2.0
sent_00247,Negative,0.1667,0.8333,0.0,1,6,Wow semma mass varthaiye illa therikkuthu
sent_00248,Mixed_feelings,0.75,0.25,0.0,4,12,Superstar Akshay Kumar & Superstar Rajinikant Fans Hit Like.. Support All The Version
sent_00249,Negative,0.5,0.5,0.0,2,10,Omg omg. Mind-blowing. Awesome. Enaku solla varthee varala. Avloo super..
sent_00250,Positive,0.1667,0.8333,0.0,2,6,Mokka ah irukkum nu confirn pannittenga
sent_00251,Positive,0.0,1.0,0.0,0,6,Enna Da Bomma padam maathiri irukuthu
