sentence id,codemixed text,monolingual text
2025-05-01T15:36:54.166424,Padam hit nu nenaikkuravange like podunge ..... Naan pottutten..,"Those who think the movie is a hit, please like it ..... I have liked it."
2025-05-01T15:36:58.976585,Thevdiya pasangala intha trailer ku enna da kora evlo dislike uh punda mavanungalae,"What the hell is wrong with these guys, why are there so many dislikes for this trailer, damn bastards."
2025-05-01T15:37:04.497863,Dislikes podura thevidiya kandara oooooooli pasangala,The dislikes are given by those useless fellows.
2025-05-01T15:37:09.103638,Neenga viswasam ah irukkurathukku mathavangala yan asinga paduthuringa....#Thala...Vera level.....,You are making others wonder at your confidence...#Thala...Next level.....
2025-05-01T15:37:13.667250,Superb thala... By thalapathy fan... Naraya naraya naraya... Vera vera vera 2um sink agudhu....,Superb leader... By thalapathy fan... Many many many... Different different different 2 is also matching....
2025-05-01T15:37:17.767193,Last dialogue epo ellam may epd than jalra taturaga,The last dialogue always comes out like a challenge or a fight.
2025-05-01T15:37:21.690442,More than 20 times paathavanga mattum like pannunga..,Only those who have watched it more than 20 times should like it.
2025-05-01T15:37:26.195386,Thala and yuvan bgm Epa dae,The background music by Thala and Yuvan is amazing.
2025-05-01T15:37:32.237465,Konjam purithu konjam puriyala.. But gud,"A little understood, a little not understood.. But good"
2025-05-01T15:37:36.535492,Rangaraj pandey dummy piece Thala munnadi,Rangaraj Pandey is a useless person in front of Thala.
2025-05-01T15:37:42.168325,ennada setha ponam mari argue pandran,Why are you arguing like a dead person?
2025-05-01T15:37:47.184143,Gommala Thala da. Verithanam,Gommala is the leader. He is extraordinary.
2025-05-01T15:37:51.619884,Oru scene vachalum valuvaa irukuu trailer thala,Every scene in the trailer looks amazing.
2025-05-01T15:37:55.784752,Wowww thala Ajith Kumar is awesome paaaaaaaaa,"Wowww, leader Ajith Kumar is awesome man."
2025-05-01T15:38:00.189441,Neraya Neraya Neraya like varanum #thala rasiganda,A lot a lot a lot of likes should come #thala fan
2025-05-01T15:38:05.155985,Final touch thala mass ah soli irukapala ketukonga da inimel aachum olunga irunga.... Ozm thrilling Trailer,"The final touch is superb, listen to it. From now on, stay well. The OZM trailer is thrilling."
2025-05-01T15:38:09.937274,after longtime i am watch my dear thala(apudi ellam nadakathu nadakka vittta maten...),"After a long time, I am watching my dear Thala (don't let things go wrong and stop like that...)"
2025-05-01T15:38:14.728558,Acting to nxt level of thala ...U1 maranabangam..,The acting is at the next level of Thala... U1 is superb.
2025-05-01T15:38:18.724369,thala thanta thalaiya minja evanta,The head that surpasses the leader is rare.
2025-05-01T15:38:22.920391,Normal ah than iruku over ah laam illa expect panra aalavuku onum illa,"It's just normal, not too much, not up to the expectations."
2025-05-01T15:38:27.937860,Itha trailer Ku dislike pannuraven girls ku against ta irupan pola.... You mom also girl..,I dislike this trailer because it seems to be against girls... You mom is also a girl.
2025-05-01T15:38:32.638767,Thala verithanam intha padam rapists ku marana serupadi kudukum,The leader will definitely give death punishment to the rapists in this film.
2025-05-01T15:38:35.910753,Thala fans for ravathanallur uthiramerur kanchipuram,"Thala fans from Ravathanallur, Uthiramerur, and Kanchipuram"
2025-05-01T15:38:40.474293,Aiyo enaku ipave thalaya padathula pakanumnu eruku,"Oh my god, I already have a headache just thinking about watching the movie."
2025-05-01T15:38:44.993237,Oruthar mela viswasam kaataruthukkaaga innoru thara yen asinga paduthiringa ... To all fans,"""To all fans, don't embarrass me by showing blind faith in one person..."""
2025-05-01T15:38:49.540554,Yavan da sonna NKP Ku expection varadunu Thala daaaaaaa,Whoever said NKP has no expectations is Thala daaaaaaa.
2025-05-01T15:38:54.477770,Thalapathi fan.But dislike panna manasu varala,Thalapathi fan. But I don't have the heart to dislike.
2025-05-01T15:38:58.351828,What ah speech Thala Ajith Kumar,What a speech Thala Ajith Kumar
2025-05-01T15:39:03.850440,Trailler pidikkadhavangalaam like pannunga expect panna alavukku trailer illa oknna like pannunga....,"The people who didn't like the trailer should like it, but the trailer isn't as expected, so like it if you can...."
2025-05-01T15:39:08.094254,Thala acting vera level nu solravanga like panunga,"The people who say Thala's acting is on another level, like them."
2025-05-01T15:39:12.725314,THALA always masss.. Ippo sollava venum Y1 music vera level ah irukkum... .,THALA is always amazing... Now I have to say Y1 music will be at another level...
2025-05-01T15:39:17.242536,Thala and yuvan ..like ha therika vidungada pasangala...bgm vera level ..,"Thala and Yuvan... like wow, the boys are killing it... the background music is next level."
2025-05-01T15:39:21.369501,Now you are lying lying lying. Thala mass,Now you are lying lying lying. The boss is awesome.
2025-05-01T15:39:25.588652,Usure mela poitu varuthu Thala ungala paakum pothu.....,"My heart skips a beat when I see you, Thala."
2025-05-01T15:39:30.246599,Thala court scene marana mass dialogue delivery super duper hit,The hero's court scene dialogue delivery was extremely powerful and it's a super hit.
2025-05-01T15:39:33.820794,Thala looking mass,The hero looks amazing
2025-05-01T15:39:38.435516,"@0:21 oh man, Thala looking amazing","At 0:21, oh man, Thala is looking amazing."
2025-05-01T15:39:43.612198,Thalaaa !.....yuvan poramboku ena da bgm potu vechirka,Leader!... What nonsense background music has Yuvan put in?
2025-05-01T15:39:48.324781,Adangappa semma tralier fight na innum thrikum,The trailer is awesome and the fight will be even more thrilling.
2025-05-01T15:39:52.757822,Ayioooo mudela da punda yanna detu padom purela da,"Oh my god, we got beaten badly by that idiot in the first round, what a fool."
2025-05-01T15:39:56.924144,Hindi padam trailer patha maari iruku,The Hindi movie trailer looks great.
2025-05-01T15:40:00.614512,Nadigar Ajith I kaanaa.... We are waiting...,We are waiting to see actor Ajith...
2025-05-01T15:40:05.470229,Idhu podhum thala idhu podhum thala aiyooooo sema thala nee,"This is enough, boss, this is enough, boss, oh my god, you're amazing, boss."
2025-05-01T15:40:09.283133,Iam Vijay fan.... Trailer Vera levelsemaa Thala,"I am a Vijay fan. The trailer is amazing, Thala."
2025-05-01T15:40:13.825081,Ayyyoo thala pindriye thala.... Vera level dharisanan thala,"Oh my god, leader, you are on another level... It's a completely different sight, leader."
2025-05-01T15:40:17.645597,dislike panna terrorist ah adichu kollunga da,Kill the terrorist you dislike.
2025-05-01T15:40:21.964712,Amithap patchan acting ivaruku koncham kooda set agala ... acting koncham change pannirukalam,Amitabh Bachchan's acting doesn't suit him at all... he could have changed his acting a little.
2025-05-01T15:40:28.238777,R u vergin .....vara level opening thala...,"Are you a virgin? That was a next-level opening, boss."
2025-05-01T15:40:32.336331,Social luku theva pada koodiya Padam,A movie that is needed for society
2025-05-01T15:40:36.784715,Ioooo iooo iooo ennanu solrathu thala nenga vera leval...,"I don't know what to say, boss you're on another level..."
2025-05-01T15:40:43.177520,Thala ungaluku edu enai yevarum ellai tamil cinemavirke yendrum nengalthan chella pillai vera level thala nenga,"Thala, no one can match you in Tamil cinema, you are always the best, Thala you are on a different level."
2025-05-01T15:40:50.808424,Sigaramna Everestu Nadipunna Enga Thala Ajith kumaru,The peak we climbed is Everest and our leader is Ajith Kumar.
2025-05-01T15:40:55.712564,Ithuku than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha bayangaram pichitaru thala,"That's why only a good director is needed, because he has presented a very scary story on screen."
2025-05-01T15:41:01.051690,Last part music I love it,I love the music in the last part.
2025-05-01T15:41:06.630816,"Appedilaam nadekaathu, nadake kudaathu! The bulls eyes","The bulls eyes, don't even walk, don't even move!"
2025-05-01T15:41:11.780833,Yellam great... Ivarukaga theva ilama oru fight scene add paniruku padathula... Unwanted.. adhe originality nalla irundhirukum avaruku... Little disappointed..,Everything is great... They have added an unnecessary fight scene in the movie just for him... It's unwanted... The originality would have been good for them... Little disappointed...
2025-05-01T15:41:15.576623,Thala love you so much ummmmmmmmmma,"Thala, I love you so much, mwah."
2025-05-01T15:41:22.005105,Unga viwasatha kaata mathavangala yen avamana paduthureenga!thala for u.... thala bloods....,Why are you insulting others by showing off your pride! Hats off to you.... thala bloods....
2025-05-01T15:41:31.241209,Ajith sir in veru patta nadipu.vera leval,Ajith sir has a unique style of acting. No one else can match it.
2025-05-01T15:41:35.281628,Intha padam kandippa crime story aatha irukkum,This movie will definitely be a crime story.
2025-05-01T15:41:39.861687,Romba varusam kalichi..ajith anna..nalla padathula nadikiraru ..good luck,It's been many years since we played together..brother Ajith..he is acting in a good movie..good luck
2025-05-01T15:41:47.519029,From Karnataka kiccha Sudeep fans like here,Fans from Karnataka like Sudeep here.
2025-05-01T15:41:51.239702,"Trailer oda kadaisi dialogue, Kola mass",The trailer's final dialogue is really awesome.
2025-05-01T15:41:54.809163,Ellam avan seyal movie madri iruku,Everything looks like his movie.
2025-05-01T15:41:59.914828,Maaassssssooooooooo maaaassss thalaya ipti oru puthu role la paakrapa as a thala fan romba happy ah erukku,I am so happy as a Thala fan to see him in a new role.
2025-05-01T15:42:04.444790,Amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada,"Mom, tell me honestly, you can't say that this trailer is not good, right?"
2025-05-01T15:42:08.848783,1:16 Rangaraj Pandey.. Avar nadikkala. Avaroda velaya padathula seiraru,1:16 Rangaraj Pandey.. He didn't act. He produced the movie.
2025-05-01T15:42:13.731345,Thaaru maaru... Thala ku Film Fare award confirm...,Thaaru Maaru... It's confirmed that Thala will receive the Filmfare award...
2025-05-01T15:42:17.871977,Come on Thala fans beginning festival Nerkonda paarvai,"Come on Thala fans, the beginning festival is Nerkonda Paarvai."
2025-05-01T15:42:22.396333,Ellam iruku but ethoo miss aguthu ...that mass avlova illa,Everything is there but something is missing... that mass is not enough.
2025-05-01T15:42:27.147440,Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa Sema Thala.........,"Why do you humiliate one person for trusting another, Great Leader..."
2025-05-01T15:42:32.166091,Romba nal kaluchi thalaya opening scene illama pakuran,I'm really excited to watch the movie without the opening scene spoilers.
2025-05-01T15:42:36.567167,Yuvan da ivana minja Evan da,"Yuvan, this guy is nothing compared to Evan."
2025-05-01T15:42:42.149838,Ippidi nariya nariya nariya superb dialogue,There are so many superb dialogues like this.
2025-05-01T15:42:48.639986,Oruthar mela neenga viswasam kata.. Inoruthara neenga asinga paduthuringa.... Deep,You trust one person but you are mocking another person... Deep.
2025-05-01T15:42:52.997421,Padam nalla irukko illaiya but thala eppovum mass ahh irukkanum...,"The movie is good or not, but the hero must always be cool..."
2025-05-01T15:42:57.931937,Samaa superrr thala machans oru like podungha,Sama bro is awesome guys please give a like.
2025-05-01T15:43:03.626955,Niraya niraya niraya paer wait pannitirukkom thala.,"We have been waiting for so, so, so long, boss."
2025-05-01T15:43:07.659276,Thala mass dialogue class vera level,The hero's mass dialogue is on another level.
2025-05-01T15:43:12.319993,THALA padama ITHU koothi maari iruku trailer....... Padam punda mathiri irukum pola,The movie THALA looks like trash based on the trailer....... The film might be total crap.
2025-05-01T15:43:16.168643,Ajith = h.Vinod= Siva = h. Raja,Ajith is equal to h.Vinod is equal to Siva is equal to h. Raja.
2025-05-01T15:43:20.951792,Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....,"No matter how a man comes, he remains the same... THALAAA... This time CLASSY after a MASS VISWASAM...."
2025-05-01T15:43:24.392008,Last ah keta kelvi...paaahhh semmaa thala,The last question was... wow amazing man.
2025-05-01T15:43:31.323857,"Thala darisanum, yenna charisma, yenna English, yenna alagzhu, lion voice.. thala blood thala veriyan from Bangalore","Thala's presence, what charisma, what English, what beauty, lion voice.. thala blood thala fan from Bangalore"
2025-05-01T15:43:36.391378,Vera level thala marana mass thala I am waiting,"The real level is head-spinning, mass leader, I am waiting."
2025-05-01T15:43:41.389721,Appudila nadakathu.... Nadaka kudathu.... Thala,It shouldn't happen.... It shouldn't happen.... Boss
2025-05-01T15:43:45.974154,Kerala Vikram fans like butten Adichu pottikku,Kerala Vikram fans pressed the like button quickly.
2025-05-01T15:43:50.204323,Vikram he to best hi hogi..,Vikram will be the best.
2025-05-01T15:43:55.042916,Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....,The Hollywood range movie is definitely a blockbuster hit! The story is amazing....
2025-05-01T15:43:59.571350,Vechu senjutinga thalaiva ... Padam marana mass. Kandipa innoru vaati pakkanum,"You've done a great job, boss... The movie is extremely entertaining. I definitely want to watch it again."
2025-05-01T15:44:04.020709,Superb movie! Vikram looks Mass! Well made movie ..no lag...,"""Excellent movie! Vikram looks stylish and impressive! It's a well-made film with no slow moments."""
2025-05-01T15:44:08.247442,Vikram looks just like he was in iru mugan. Looks cool !,Vikram looks just like he was in Iru Mugan. He looks cool!
2025-05-01T15:44:12.005862,Vayase aagala pa.. ena effort chanceless..,Age hasn't caught up yet.. what an effortless effort..
2025-05-01T15:44:15.912869,Die hard chiyaan fans like here,Die hard fans like Chiyaan are here.
2025-05-01T15:44:19.827717,படம் எப்ப ரிலீஸ்? When this movie release?,When will this movie be released?
2025-05-01T15:44:24.442969,U kena tunggu lebih lama lagi untuk tau saya.. You have to wait longer to know me,You have to wait longer to know me.
2025-05-01T15:44:29.070533,"omg, Indian filmmaking is so embarassing xD","OMG, Indian filmmaking is so embarrassing xD"
2025-05-01T15:44:32.613768,Vara vara gibran bgm la kalakkuran,Slowly slowly the gibran bgm is rocking.
2025-05-01T15:44:37.557826,Movie kab release hogi uska date fix batao,"When will the movie be released, tell me the fixed date."
2025-05-01T15:44:41.748088,"Kuch samajh nai aaya , lekin dekh k acha laga.","I didn't understand anything, but it looked good to see."
2025-05-01T15:44:45.857103,Hollywood movie ka remek hain point blank ka,The Hollywood movie is a remake of Point Blank.
2025-05-01T15:44:50.304864,chiyan veriyan ivan pandiyan street aruppukottai,That crazy guy is the Pandiyan of Aruppukottai street.
2025-05-01T15:44:54.947049,Plzzzzzz sir ji hindi me bhi chahiye..,"Please sir ji, I need it in Hindi as well."
2025-05-01T15:45:00.440551,AR rahuman on board chiyaan vikram 58,AR Rahman is on board for Chiyaan Vikram 58.
2025-05-01T15:45:05.203785,213k likes but just 3.9 unlikes only fr chiyaan,213k likes but only 3.9 dislikes for Chiyaan.
2025-05-01T15:45:09.246982,nenga vilaiyanadhuu enn kitte Ella yeman kittee..,"You told me the price, I have everything with me."
2025-05-01T15:45:14.100824,movie nadikiradhuku theramai thevai illai kaasu irundha podhum (example : aksarahasan ),"You don't need talent to act in movies, money is enough (example: Akshara Haasan)."
2025-05-01T15:45:17.389766,Ivaruku vayasu agala vayasu koranchukitu iruku,"He is not old enough, he is still young."
2025-05-01T15:45:22.004482,Neenga velayadanathu enkitta illa yeman kitta Only one dialogue is enough chiyaan uyir,"You don't have a job, I don't have one either. Only one dialogue is enough, dear life."
2025-05-01T15:45:26.143152,you kena tunggu lama lagi kalau nak tau saya...malay punch dialogue,you have to wait a long time if you want to know me...malay punch dialogue
2025-05-01T15:45:33.255027,Vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku,"Vikram sir's efforts are great but when I think about the stunt scenes, I feel scared."
2025-05-01T15:45:37.825231,Vikram Telugu fans hit like here,Vikram Telugu fans click like here.
2025-05-01T15:45:42.195760,Vikram Hair Style....Pidichavanga Like Podunga Pa..... Naamalum Vaipom Future Le...Andha Hair Style Le.....,"""Vikram's hairstyle.... Those who like it, please like it.... We will also try that hairstyle in the future...."""
2025-05-01T15:45:45.826326,you kena tunggu lama lagi untuk tosai !,You have to wait a long time for the dosa!
2025-05-01T15:45:50.106036,Age is not a matter for vikram,Age is not a matter for Vikram.
2025-05-01T15:45:53.627955,Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?,How many roles do you think Ajith should act in?
2025-05-01T15:45:57.726431,Die HEARTfan of VikramSir ... FROM Tollywood ....,I am a die-hard fan of Vikram Sir from Tollywood.
2025-05-01T15:46:02.893744,Kamal sir nenga vikrama vaithu marma yogi movie pannunga sir superrrrrrra irukkum.,"Kamal sir, you should make the Vikrama and Marma Yogi movie, it will be amazing."
2025-05-01T15:46:06.905172,Hindi me kyo nhi late trailer,Why didn't you release the trailer in Hindi?
2025-05-01T15:46:10.965676,Vikram sir you will never get old,Vikram sir you will never get old
2025-05-01T15:46:15.048994,neenga vilayadnathu enkitte ille yaman kitte chiyan vikram,"You're not playing with me, you're playing with Yaman, Chiyan Vikram."
2025-05-01T15:46:19.392269,Trailer lam nalla irukku...! Aana padatha release panna maatringale pa.....,The trailer looks good...! But don't release the movie please.....
2025-05-01T15:46:24.817294,Can i get 2k like for vikram sir,Can I get two thousand likes for Vikram sir?
2025-05-01T15:46:29.017309,Iam from odisha I am big fan of vikram sir,I am from Odisha and I am a big fan of Vikram sir.
2025-05-01T15:46:33.797898,Chiyanisam is sema thookkal aaha,Chiyanisam is extremely boring.
2025-05-01T15:46:40.695921,1:37 You Kene Tunggu Lama Lagi Untuk Tahu Saya MALAYSIA LANGUAGE,1:37 You're waiting too long to know I'm from Malaysia.
2025-05-01T15:46:44.789750,Very happy to see our lena lena chechi i love you umma umma umma,"Very happy to see our dear sister, I love you, lots of kisses."
2025-05-01T15:46:49.152541,Chiyan vikram sir's heavy trailer.....,Chiyan Vikram sir's intense trailer.....
2025-05-01T15:46:53.958962,Ippo Bigboss vetukulla vikrama anupe asega paduthuvan kamal,"Now, Vikrama is going to trouble Kamal inside the Bigg Boss house."
2025-05-01T15:46:58.695028,mass chiyaan vikramyamaan daakk na yaruu?,"Mass Chiyaan Vikram is a great hero, who can compete with him?"
2025-05-01T15:47:03.449730,This man never gets old,This man never gets old.
2025-05-01T15:47:07.929298,Why dont you make movie relies in hindi.........,Why don't you release the movie in Hindi.........
2025-05-01T15:47:12.538577,Ita yavudu release panna udunga ya,Please wait until the right time to release it.
2025-05-01T15:47:17.325547,I am the chiyaan fan ta,I am the biggest fan of Chiyaan.
2025-05-01T15:47:21.576458,Chiyaan Vikram sir u r awesome sir.u have maintained good physique,Chiyaan Vikram sir you are awesome sir. You have maintained a good physique.
2025-05-01T15:47:26.265448,1:00 LUV U Chiyaan Vikram and LUV U DUKE,1:00 Love you Chiyaan Vikram and Love you Duke.
2025-05-01T15:47:30.123042,Hindi me full movie rielij Karu,Release the full movie in Hindi.
2025-05-01T15:47:34.560755,Indha trailera big bossla podanumnu ninaikkaravunga like pannunga,People who think this trailer should be shown on Big Boss will like it.
2025-05-01T15:47:39.738927,Vikram looks like splinter cell Sam Fisher,Vikram looks like Splinter Cell's Sam Fisher.
2025-05-01T15:47:44.436112,അണ്ണൻ ഉയിർ Love from kerala,Brother Uyir Love from Kerala
2025-05-01T15:47:48.479697,Next ulaga nayagan namma chiyan vikram thaan,The next global hero is our Chiyan Vikram.
2025-05-01T15:47:53.091981,chiyan vikram I and Aprichit movie fans like,Chiyan Vikram and I are fans of the movie Aprichit.
2025-05-01T15:47:59.587713,"Wow Vikram spoke Malay word “You kena tunggu lebih lama lagi,until tahu saya”. Wowww","Wow Vikram spoke the Malay words ""You have to wait longer, until I know."" Wow."
2025-05-01T15:48:05.479209,You kena tungu lebih lama lagi untuk tahu saya... Vikram speak malay....,You need to wait longer to get to know me... Vikram speaks Malay....
2025-05-01T15:48:09.678355,Chiyan vikram sema style waiting for kadaram kondan,"Chiyan Vikram looks extremely stylish, waiting for Kadaram Kondan."
2025-05-01T15:48:14.387362,Ghibran ku aaagavey padam hit aaganum,Ghibran's film must surely be a hit.
2025-05-01T15:48:18.892784,You kena tunggu lebih lama lagi... untuk tahu saya! Masss Chiyaan,You have to wait a lot longer to know me! Mass Chiyaan.
2025-05-01T15:48:23.548949,Is he like anit hero in this film.... But semaya iruku.. Chiyaan ipdi paaka,Is he like an anti-hero in this film? But it looks great. It's nice to see Chiyaan like this.
2025-05-01T15:48:27.496899,when i am seeing vikram here its like john wick,"when I see Vikram here, it's like John Wick."
2025-05-01T15:48:31.584753,Vikram speak malay...you kena tunggu lebih lama lagi untuk tahu saya..,Vikram speak Malay...you have to wait much longer to know me.
2025-05-01T15:48:35.281421,Itha paaka transporter Tamil remake maari iruku,It looks like a Tamil remake of the movie Transporter.
2025-05-01T15:48:39.841424,You kena tungu lama lagi mahu jumpa saya.....last malay language....,You have to wait a long time if you want to meet me.....last Malay language....
2025-05-01T15:48:44.797725,Vikram sir ella costumum ella characterum Unga orutharuku thaan suit akum,"Vikram sir, every costume and every character will suit only you."
2025-05-01T15:48:49.719463,U kena tunggu lebih lama lagi... Untuk tahu saya ...,You have to wait a little longer to know about me...
2025-05-01T15:48:54.017491,Meaning of kadaram kondan is king of Malaysia,The meaning of Kadaram Kondan is king of Malaysia.
2025-05-01T15:48:59.946088,1:06 gibran Vera level,1:06 Gibran Vera level
2025-05-01T15:49:05.991046,Trailer pakka super ah iruku but Rajesh neenga edhutha thungavanam padatha patha dha bayama iruku..,The trailer looks really nice but I am getting scared for the movie Thungavanam you've directed Rajesh.
2025-05-01T15:49:10.748685,Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck,"How dare you disrespect the great warrior's name like this, you fucking bastard."
2025-05-01T15:49:14.833292,Hindi version bhi sath aa jaye to mza aa jaye,It will be fun if the Hindi version is also available.
2025-05-01T15:49:19.096085,Still acting like a youngster...Chiyaan Vikram,Still acting like a youngster...Vikram the hero.
2025-05-01T15:49:22.996611,Vera level getup last minute super bro,"Awesome outfit at the last minute, bro."
2025-05-01T15:49:27.323435,Konjam Irumugan Madhiri irukku....All the best.....team,It looks a bit like Irumugan....All the best.....team
2025-05-01T15:49:31.627842,U kena tungu lebih Lama lagi untuk tau saya,You took too long to realize me.
2025-05-01T15:49:35.592843,Super Hit Trailer Love From pakistan Chiyaan Vikram Sir FanS Hit Like Here,"""Super Hit Trailer, Love From Pakistan, Chiyaan Vikram Sir Fans Hit Like Here"""
2025-05-01T15:49:40.201094,Chiyaan semma Love from kerala,Chiyaan is getting immense love from Kerala.
2025-05-01T15:49:44.605260,Vikramuku Indha padam hit kodukum accept pannuravunga like pannunga,Accept that this film will be a hit for Vikram and like it.
2025-05-01T15:49:48.700343,Hindi mein bhi release karo movie,Release the movie in Hindi as well.
2025-05-01T15:49:52.625081,Enth look aado oru raksha ella,"What a look, no protection at all."
2025-05-01T15:49:56.934718,Dia kena tunggu lame lg.. utk tau saya... hhahahahaha,She had to wait so long just to know me... hahahahaha
2025-05-01T15:50:00.810628,You kena tunggu lebih lama lagi untuk tahu saya! Who heard this Malaysians?,You have to wait even longer to know me! Who heard this Malaysians?
2025-05-01T15:50:04.994716,Missed shruti hassan's kadam kondam song.....,"I missed Shruti Hassan's song ""Kadam Kondam""..."
2025-05-01T15:50:09.406231,I like Vikram sir.l want to see him in a joker like character,I like Vikram sir. I want to see him in a joker like character.
2025-05-01T15:50:13.695196,Solid trailer Hindi mein bhi release kar do dub karke Chiyaan vikram fans like here ..,Release a solid Hindi dubbed trailer as well for Chiyaan Vikram fans.
2025-05-01T15:50:17.578448,All d best from all Kannadigas....,All the best from all Kannadigas....
2025-05-01T15:50:23.687491,Kadaram... Enna karumam da idhu FLOP !,"Kadaram... What a shame, this is a FLOP!"
2025-05-01T15:50:28.238405,Plz hindi me v dubbed kijiye .... For We all hindi fan .plzzzzzzzzzz,Please dub it in Hindi as well... For all of us Hindi fans. Please.
2025-05-01T15:50:33.245829,wow Is Movie 3Million View 175k Like Best luck Bikram Sir Fan Likr Here,"Wow, the movie has 3 million views and 175k likes. Best of luck, Bikram Sir. Fan like here."
2025-05-01T15:50:38.057487,but i want karikalachozhan also,but I want Karikalachozhan also
2025-05-01T15:50:44.497760,Ethirpartha alavukku illa...bgm mattama irukku... Why ghibran,I didn't expect this much...the bgm is different...Why ghibran
2025-05-01T15:50:48.856156,Super super super super super super super Vikram variyan da,Super super super super super super super Vikram is amazing.
2025-05-01T15:50:53.216620,Ama Inga enga Kamal Hassan ah kanom,Where is our Kamal Hassan?
2025-05-01T15:51:00.353103,Yen pa idu trending la elha?,"Why is this not trending, dude?"
2025-05-01T15:51:04.393617,Dei Vikram ku trailer mattum nalla pannuvanga da.Ana Padam mokkiya irukum.,"Hey, they only make good trailers for Vikram. But the movie will be excellent."
2025-05-01T15:51:08.685238,Chiyaan Vikram die hard fans like here,Chiyaan Vikram's die-hard fans are here.
2025-05-01T15:51:16.732492,diehard fan of chiyaan vikram,diehard fan of Chiyaan Vikram
2025-05-01T15:51:21.479884,Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe,"Vasu, who is that? Oh my, since Shruti Hassan is on our mind."
2025-05-01T15:51:26.401018,खान तो बहुत थे पर खिलाड़ी बस एक है। the one and only mr. Akshay kumar,"There were many khans, but there's only one player, the one and only Mr. Akshay Kumar."
2025-05-01T15:51:31.164978,sankar sir fans hit like here,"Sankar sir's fans, hit the like button here."
2025-05-01T15:51:35.149602,Semma semma CG AND SEMMA BACKGROUND,Amazing amazing CG and an amazing background.
2025-05-01T15:51:41.502296,"Super but, Not like to see Hollywood level....","Super but, I don't like to see Hollywood level...."
2025-05-01T15:51:47.572289,INDIA'S BIGGEST MOVIE! INDIA'S BIGGEST STARS! SUPER STAR RAJINI KANTH SUPER STAR AKSHAY KUMAR,INDIA'S BIGGEST MOVIE! INDIA'S BIGGEST STARS! SUPER STAR RAJINIKANTH AND SUPER STAR AKSHAY KUMAR!
2025-05-01T15:51:52.632105,Ithella ennada hollywood pado enga aalu siva etuthaaru paarraa vivegam pado athu maari oru pado ungalaala etukka mudiyuma aa,What is all this Hollywood stuff? Our guy Siva has made films like Vivegam. Can you even make a film like that?
2025-05-01T15:51:57.392116,CHITTI RELOADED.. EXPECTATION OVERLOADED,"CHITTI RELOADED.. EXPECTATION OVERLOADED translates to ""Chitti Reloaded.. Expectations are too high"" in monolingual English."
2025-05-01T15:52:02.128083,Appo phone ai thatti vitta sivakumar kandippa akshay kumar oda sleeper cell dhaan..,Then Sivakumar who threw the phone is definitely Akshay Kumar's sleeper cell.
2025-05-01T15:52:07.453246,All best to 2.0 from kannadigas....super star rajani sir,All the best to 2.0 from Kannadigas....Super Star Rajinikanth sir.
